Country,Group,Female Count,Femaie Percent,Male Count,Male Percent,Total Count,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
Djibouti,African States,2,33.33%,4,66.67%,6,5ed5136868235a1f35484c1e,DJIBOUTI,Djibouti,Djibouti,Republic of Djibouti,"Permanent Mission of the Republic
of Djibouti to the United Nations
866 United Nations Plaza, Suite 4011
New York, NY 10017",212-753-3163,"212-223-1276
212-758-1056",9/20/77,27-Jun,1,,www.un.int/djibouti,,djibouti@nyct.net,French
Viet Nam,Asia-Pacific States,5,26.32%,14,73.68%,19,5ed5136868235a1f35484cab,VIET NAM,Viet Nam,Viet Nam,Socialist Republic of Viet Nam,"Permanent Mission of the Socialist Republic
of Viet Nam to the United Nations
866 United Nations Plaza, 4th Floor, Suite 428
New York, NY 10017","212-644-0594
212-644-0831
212-644-1564",212-644-5732,9/20/77,"Independence Day, 2 September",1,,www.vietnam-un.org,,info@vietnam-un.org,English
Solomon Islands,Asia-Pacific States,2,66.67%,1,33.33%,3,5ed5136868235a1f35484c8c,SOLOMON ISLANDS,Solomon Islands,Solomon Islands,Solomon Islands,"Permanent Mission of Solomon Islands
to the United Nations
685 Third Avenue, Suite 1105
New York, NY 10017
","212-599-6192
212-599-6193",212-661-8925,9/19/78,7-Jul,1,,,,simun@solomons.com,English
Dominica,Latin American and Caribbean States,,,3,100.00%,3,5ed5136868235a1f35484c1f,DOMINICA,Dominica,Dominica,Commonwealth of Dominica,"Permanent Mission of the Commonwealth
of Dominica to the United Nations
685 Third Avenue, Suite 1110
New York, NY 10017",212-949-0853,"212-808-4975
212-661-0979",12/18/78,3-Nov,1,,,,dominicaun@gmail.com,English
Saint Lucia,Latin American and Caribbean States,2,66.67%,1,33.33%,3,5ed5136868235a1f35484c7f,SAINT LUCIA,Saint Lucia,Saint Lucia,Saint Lucia,"Permanent Mission of Saint Lucia
to the United Nations
630 Third Avenue, Suite 702
New York, NY 10017",212-697-9360,212-697-4993,9/18/79,"Independence Day, 22 February",1,,,,info@stluciamission.org,English
Zimbabwe,African States,6,40.00%,9,60.00%,15,5ed5136868235a1f35484cae,ZIMBABWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,"Permanent Mission of the Republic
of Zimbabwe to the United Nations
228 East 45th Street, Third Floor
New York, NY 10017","212-980-9511
",212-308-6705,8/25/80,18-Apr,1,,,,zimnewyork@gmail.com,English
Saint Vincent and the Grenadines,Latin American and Caribbean States,6,100.00%,,,6,5ed5136868235a1f35484c80,SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"Permanent Mission of Saint Vincent
and the Grenadines to the United Nations
685 Third Avenue, Suite 1108
New York, NY 10017","212-599-0950
212-599-0955",212-599-1020,9/16/80,"Independence Day, 27 October",1,,www.svg-un.org,,svgmission@gmail.com; ambassadorassistantsvg@gmail.com,English
Vanuatu,Asia-Pacific States,2,50.00%,2,50.00%,4,5ed5136868235a1f35484ca9,VANUATU,Vanuatu,Vanuatu,Republic of Vanuatu,"Permanent Mission of the Republic
of Vanuatu to the United Nations
685 Third Avenue, Suite 1103
New York, NY 10017",212-661-4303,212-661-5544,9/15/81,"Independence Day, 30 July",1,,,,vanunmis@aol.com,English
Belize,Latin American and Caribbean States,2,66.67%,1,33.33%,3,5ed5136868235a1f35484bff,BELIZE,Belize,Belize,Belize,"Permanent Mission of Belize
to the United Nations
675 Third Avenue, Suite 1911
New York, NY 10017
",212-986-1240,212-593-0932,9/25/81,"Independence Day, 21 September",1,,,,permanent.mission@mfa.gov.bz,English
Antigua and Barbuda,Latin American and Caribbean States,2,40.00%,3,60.00%,5,5ed5136868235a1f35484bf3,ANTIGUA AND BARBUDA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,"Permanent Mission of Antigua and Barbuda
to the United Nations
305 East 47th Street, 6th Floor
New York, NY 10017",212-541-4117,212-757-1607,11/11/81,"Independence Day, 1 November",1,,ab.gov.ag,,unmission@ab.gov.ag; jackley.peters@ab.gov.ag (Ambassador's Office),English
Saint Kitts and Nevis,Latin American and Caribbean States,3,75.00%,1,25.00%,4,5ed5136868235a1f35484c7e,SAINT KITTS AND NEVIS,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,"Permanent Mission of Saint Kitts
and Nevis to the United Nations
370 Lexington Avenue, Suite 2202 (Floor 22)
New York, NY 10017
",212-535-1234,212-535-6854,9/23/83,"Independence Day, 19 September",1,,,,info@nymission.gov.kn,English
Brunei Darussalam,Asia-Pacific States,5,71.43%,2,28.57%,7,5ed5136868235a1f35484c06,BRUNEI DARUSSALAM,Brunei Darussalam,Brunei Darussalam,Negara Brunei Darussalam,"Permanent Mission of Brunei Darussalam
to the United Nations
771 United Nations Plaza
New York, NY 10017",212-697-3465,212-697-9889,9/21/84,"National Day, 23 February",1,,,,bruneiunmission@protonmail.com,English
Namibia,African States,4,44.44%,5,55.56%,9,5ed5136868235a1f35484c64,NAMIBIA,Namibia,Namibia,Republic of Namibia,"Permanent Mission of the Republic
of Namibia to the United Nations
135 East 36th Street
New York, NY 10016",212-685-2003,212-685-1561,4/23/90,"Independence Day, 21 March",1,,www.un.int/namibia,,info@namibiaunmission.org,English
Liechtenstein,Western European and other States,1,25.00%,3,75.00%,4,5ed5136868235a1f35484c50,LIECHTENSTEIN,Liechtenstein,Liechtenstein,Principality of Liechtenstein,"Permanent Mission of the Principality
of Liechtenstein to the United Nations
633 Third Avenue, 27th Floor
New York, NY 10017",212-599-0220,,9/18/90,15-Aug,1,,,Twitter: @LiechtensteinUN,newyork@llv.li,English
Democratic People's Republic of Korea,Asia-Pacific States,,,10,100.00%,10,5ed5136868235a1f35484c1b,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Democratic People's Republic of Korea,"Permanent Mission of the Democratic People‚Äôs Republic
of Korea to the United Nations
820 Second Avenue, Suite 13A
New York, NY 10017
","212-972-3105
212-972-3106",212-972-3154,9/17/91,"Foundation Day of the Democratic People's Republic of Korea, 9 September",1,,,,dprk.unmission@gmail.com,English
Estonia,Eastern European States,5,62.50%,3,37.50%,8,5ed5136868235a1f35484c26,ESTONIA,Estonia,Estonia,Republic of Estonia,"Permanent Mission of the Republic
of Estonia to the United Nations
3 Dag Hammarskj√∂ld Plaza
305 East 47th Street, Unit 6B
New York, NY 10017",212-883-0640,646-514-0099,9/17/91,"Independence Day, 24 February",1,,un.mfa.ee,,mission.newyork@mfa.ee,English
Latvia,Eastern European States,4,44.44%,5,55.56%,9,5ed5136868235a1f35484c4b,LATVIA,Latvia,Latvia,Republic of Latvia,"Permanent Mission of the Republic
of Latvia to the United Nations
One Dag Hammarskj√∂ld Plaza
885 Second Avenue, 31st Floor
New York, NY 10017",212-838-8877,,9/17/91,"Independence Day, 18 November",1,,,,mission.un-ny@mfa.gov.lv,English
Lithuania,Eastern European States,3,42.86%,4,57.14%,7,5ed5136868235a1f35484c51,LITHUANIA,Lithuania,Lithuania,Republic of Lithuania,"Permanent Mission of the Republic
of Lithuania to the United Nations
600 Third Avenue, 15th Floor
New York, NY 10016","212-983-9474
212-983-9470
212-983-9472",212-983-9473,9/17/91,"Independence Day, 16 February",1,,un.mfa.lt,,lithuaniaun@gmail.com,English
Marshall Islands,Asia-Pacific States,,,2,100.00%,2,5ed5136868235a1f35484c59,MARSHALL ISLANDS,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,"Permanent Mission of the Republic
of the Marshall Islands to the United Nations
800 Second Avenue, 18th Floor
New York, NY 10017",212-983-3040,212-983-3202,9/17/91,"Constitution Day, 1 May",1,,"http
//marshallislands.un.int",,marshallislands@rmiunmission.org,English
Micronesia (Federated States of),Asia-Pacific States,1,33.33%,2,66.67%,3,5ed5136868235a1f35484c5d,MICRONESIA (FEDERATED STATES OF),Micronesia (Federated States of),Micronesia (Federated States of),Federated States of Micronesia,"Permanent Mission of the Federated States
of Micronesia to the United Nations
300 East 42nd Street, Suite 1600
New York, NY 10017",212-697-8370,212-697-8295,9/17/91,"Independence Day, 3 November",1,,www.fsmgov.org/fsmun/,,fsmun@fsmgov.org,English
Republic of Korea,Asia-Pacific States,14,35.00%,26,65.00%,40,5ed5136868235a1f35484c79,REPUBLIC OF KOREA,Republic of Korea,Republic of Korea,Republic of Korea,"Permanent Mission of the Republic
of Korea to the United Nations
335 East 45th Street
New York, NY 10017",212-439-4000,212-986-1083,9/17/91,"National Foundation Day, 3 October",1,,overseas.mofa.go.kr/un-en/index.do,,korea.un@mofa.go.kr,English
Armenia,Eastern European States,4,50.00%,4,50.00%,8,5ed5136868235a1f35484bf5,ARMENIA,Armenia,Armenia,Republic of Armenia,"Permanent Mission of the Republic
of Armenia to the United Nations
119 East 36th Street
New York, NY 10016","212-686-9079
212-686-3871",212-686-3934,3/2/92,"National Day, 21 September",1,,www.un.mfa.am,,armenia@missionun.org,English
Azerbaijan,Eastern European States,5,38.46%,8,61.54%,13,5ed5136868235a1f35484bf8,AZERBAIJAN,Azerbaijan,Azerbaijan,Republic of Azerbaijan,"Permanent Mission of the Republic
of Azerbaijan to the United Nations
633 Third Avenue, Suite 3210
New York, NY 10017","212-371-2559
212-371-2832",646-738-6143,3/2/92,"Independence Day, 28 May",1,,un.mfa.gov.az,Twitter: @AzmissionUN,mission@azerbaijanun.org,English
Kazakhstan,Asia-Pacific States,,,13,100.00%,13,5ed5136868235a1f35484c45,KAZAKHSTAN,Kazakhstan,Kazakhstan,Republic of Kazakhstan,"Permanent Mission of the Republic
of Kazakhstan to the United Nations
3 Dag Hammarskj√∂ld Plaza
305 East 47th Street, Third Floor
New York, NY 10017",212-230-1900,"212-230-1172
212-446-6782",3/2/92,"Day of the Republic, 25 October",1,,,,unkazmission@gmail.com,English
Kyrgyzstan,Asia-Pacific States,4,50.00%,4,50.00%,8,5ed5136868235a1f35484c49,KYRGYZSTAN,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic,"Permanent Mission of the Kyrgyz Republic
to the United Nations
866 United Nations Plaza, Suite 477
New York, NY 10017","212-486-4214
212-486-4654",212-486-5259,3/2/92,"Independence Day, 31 August",1,,mfa.gov.kg/en/dm/postoyannoe-predstavitelstvo-kyrgyzskoy-respubliki-pri-organizacii-obedinennyh-naciy-v-g-nyu-york,,Kyrgyz.unny@gmail.com,English
Republic of Moldova,Eastern European States,3,75.00%,1,25.00%,4,5ed5136868235a1f35484c7a,REPUBLIC OF MOLDOVA,Republic of Moldova,Republic of Moldova,Republic of Moldova,"Permanent Mission of the Republic
of Moldova to the United Nations
35 East 29th Street
New York, NY 10016",212-447-1867,212-447-4067,3/2/92,27-Aug,1,,"https

//rponuny.mfa.gov.md",,unmoldova@mfa.gov.md,English
San Marino,Western European and other States,1,50.00%,1,50.00%,2,5ed5136868235a1f35484c82,SAN MARINO,San Marino,San Marino,Republic of San Marino,"Permanent Mission of the Republic
of San Marino to the United Nations
327 East 50th Street
New York, NY 10022",212-751-1234,212-751-1436,3/2/92,3-Sep,1,,,,sanmarinoun@gmail.com,English
Tajikistan,Asia-Pacific States,,,5,100.00%,5,5ed5136868235a1f35484c97,TAJIKISTAN,Tajikistan,Tajikistan,Republic of Tajikistan,"Permanent Mission of the Republic
of Tajikistan to the United Nations
228 East, 45th Street, 17th Floor
New York, NY 10017",212-207-3315,212-207-3855,3/2/92,"Independence Day, 9 September",1,,,,tajikistanunmission@gmail.com,English
Turkmenistan,Asia-Pacific States,1,25.00%,3,75.00%,4,5ed5136868235a1f35484c9f,TURKMENISTAN,Turkmenistan,Turkmenistan,Turkmenistan,"Permanent Mission of Turkmenistan
to the United Nations
866 United Nations Plaza, Suite 540
New York, NY 10017",332-255-3060,646-219-3373,3/2/92,"Independence Day, 27 September",1,,un.mission.gov.tm/,,turkmenistan.un@mfa.gov.tm,English
Uzbekistan,Asia-Pacific States,,,7,100.00%,7,5ed5136868235a1f35484ca8,UZBEKISTAN,Uzbekistan,Uzbekistan,Republic of Uzbekistan,"Permanent Mission of the Republic
of Uzbekistan to the United Nations
630 Third Avenue, 5th Floor
New York, NY 10017",212-486-4242,212-486-7998,3/2/92,"Independence Day, 1 September",1,,,,uzbekistan.un@gmail.com,English
Bosnia and Herzegovina,Eastern European States,3,37.50%,5,62.50%,8,5ed5136868235a1f35484c03,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,"Permanent Mission of Bosnia and Herzegovina to the United Nations
211 East 43rd Street, Unit 1701
New York, NY 10017


",212-751-9015,212-751-9019,5/22/92,"Independence Day, 1 March",1,,www.bhmissionun.org,,bihun@mvp.gov.ba,English
Croatia,Eastern European States,4,66.67%,2,33.33%,6,5ed5136868235a1f35484c17,CROATIA,Croatia,Croatia,Republic of Croatia,"Permanent Mission of the Republic
of Croatia to the United Nations
820 Second Avenue, 19th Floor
New York, NY 10017",646-273-2705,212-986-2011,5/22/92,"Statehood Day, 30 May",1,,un.mfa.hr,,cromiss.un@mvep.hr,English
Slovenia,Eastern European States,14,53.85%,12,46.15%,26,5ed5136868235a1f35484c8b,SLOVENIA,Slovenia,Slovenia,Republic of Slovenia,"Permanent Mission of the Republic
of Slovenia to the United Nations
630 Third Avenue, 20th Floor
New York, NY 10017",212-370-3007,212-370-1824,5/22/92,"National Day, 25 June",1,,www.newyork.mission.si,,slomission.newyork@gov.si,English
Georgia,Eastern European States,3,33.33%,6,66.67%,9,5ed5136868235a1f35484c2e,GEORGIA,Georgia,Georgia,Georgia,"Permanent Mission of Georgia
to the United Nations
One United Nations Plaza, 26th Floor
New York, NY 10017",212-759-1949,212-759-1832,7/21/92,"Independence Day, 26 May",1,,www.un.int/georgia,,geomission.un@mfa.gov.ge,English
Czechia,Eastern European States,5,35.71%,9,64.29%,14,5ed5136868235a1f35484c1a,CZECHIA,Czechia,Czechia,Czech Republic,"Permanent Mission of Czechia
to the United Nations
One Dag Hammarskj√∂ld Plaza
885 Second Avenue, 48th Floor
New York, NY 10017",646-981-4001,646-981-4099,1/19/93,28-Oct,1,,www.mfa.cz,,UN.Newyork@mzv.gov.cz,English
Slovakia,Eastern European States,2,20.00%,8,80.00%,10,5ed5136868235a1f35484c8a,SLOVAKIA,Slovakia,Slovakia,Slovak Republic,"Permanent Mission of the Slovak Republic
to the United Nations
866 United Nations Plaza, 2nd Floor, Unit 222
New York, NY 10017","212-286-8880 (General Numbers)
212-286-8476 (Permanent Representative‚Äôs Office)
212-286-8451 (Military Adviser‚Äôs Office)","212-286-8419 (Permanent Representative‚Äôs Office)
212-286-8451 (Military Adviser‚Äôs Office)",1/19/93,"Constitution Day, 1 September",1,,www.mzv.sk/unnewyork,,un.newyork@mzv.sk,English
North Macedonia,Eastern European States,2,100.00%,,,2,5ed5136868235a1f35484c6c,NORTH MACEDONIA,North Macedonia,North Macedonia,The Republic of North Macedonia,"Permanent Mission of the Republic
of North Macedonia to the United Nations
866 United Nations Plaza, Suite 570
New York, NY 10017","212-308-8504
212-308-8723",212-308-8724,4/8/93,2-Aug,1,,,,newyork@mfa.gov.mk,English
Eritrea,African States,2,33.33%,4,66.67%,6,5ed5136868235a1f35484c25,ERITREA,Eritrea,Eritrea,State of Eritrea,"Permanent Mission of Eritrea
to the United Nations
800 Second Avenue, 18th Floor
New York, NY 10017",212-687-3390,212-687-3138,5/28/93,"Independence Day, 24 May",1,,www.eritrea-unmission.org,,general@eritreaun.org,English
Monaco,Western European and other States,3,60.00%,2,40.00%,5,5ed5136868235a1f35484c5e,MONACO,Monaco,Monaco,Principality of Monaco,"Permanent Mission of the Principality
of Monaco to the United Nations
866 United Nations Plaza, Suite 520
New York, NY 10017",212-832-0721,,5/28/93,19-Nov,1,,,,monaco.un@gmail.com,French
Andorra,Western European and other States,2,66.67%,1,33.33%,3,5ed5136868235a1f35484bf1,ANDORRA,Andorra,Andorra,Principality of Andorra,"Permanent Mission of the Principality
of Andorra to the United Nations
Two United Nations Plaza, 27th Floor
New York, NY 10017","212-750-8064
212-750-8065",212-750-6630,7/28/93,8-Sep,1,,www.exteriors.ad,,missionandorraun@govern.ad,French; English
Palau,Asia-Pacific States,2,100.00%,,,2,5ed5136868235a1f35484c70,PALAU,Palau,Palau,Republic of Palau,"Permanent Mission of the Republic
of Palau to the United Nations
409 East 50th Street
New York, NY 10022
",201-523-6206,,12/15/94,"Independence Day, 1 October",1,,www.palauun.org,,mission@palauun.org,English
Kiribati,Asia-Pacific States,2,50.00%,2,50.00%,4,5ed5136868235a1f35484c47,KIRIBATI,Kiribati,Kiribati,Republic of Kiribati,"Permanent Mission of the Republic
of Kiribati to the United Nations
685 Third Avenue, Suite 1109
New York, NY 10017",212-867-3310,212-867-3320,9/14/99,12-Jul,1,,,,kimission.newyork@mfa.gov.ki,English
Nauru,Asia-Pacific States,3,100.00%,,,3,5ed5136868235a1f35484c65,NAURU,Nauru,Nauru,Republic of Nauru,"Permanent Mission of the Republic
of Nauru to the United Nations
300 East 42nd Street, Suite 1601
New York, NY 10017",212-937-0074,646-747-9589,9/14/99,"Independence Day, 31 January",1,,www.un.int/nauru,,"naurumission@nauruun.org
",English
Tonga,Asia-Pacific States,,,2,100.00%,2,5ed5136868235a1f35484c9b,TONGA,Tonga,Tonga,Kingdom of Tonga,"Permanent Mission of the Kingdom
of Tonga to the United Nations
250 East 51st Street
New York, NY 10022",646-692-3552,646-692-6070,9/14/99,4-Nov,1,,,,tongaunmission@gmail.com,English
Tuvalu,Asia-Pacific States,1,33.33%,2,66.67%,3,5ed5136868235a1f35484ca0,TUVALU,Tuvalu,Tuvalu,Tuvalu,"Permanent Mission of Tuvalu
to the United Nations
685 Third Avenue, Suite 1104
New York, NY 10017",212-490-0534,212-808-4975,9/5/00,"Independence Day, 1 October",1,,www.un.int/wcm/content/site/tuvalu,,tuvalu.unmission@gov.tv,English
Serbia,Eastern European States,5,38.46%,8,61.54%,13,5ed5136868235a1f35484c86,SERBIA,Serbia,Serbia,Republic of Serbia,"Permanent Mission of the Republic
of Serbia to the United Nations
22 East 35th Street
New York, NY 10016",646-490-7067,,11/1/00,"Statehood Day, 15 February",1,,www.serbia-un.mfa.gov.rs/,,info@serbiamissionun.org; PR.office@serbiamissionun.org,English
Switzerland,Western European and other States,15,57.69%,11,42.31%,26,5ed5136868235a1f35484c95,SWITZERLAND,Switzerland,Switzerland,Swiss Confederation,"Permanent Mission of Switzerland
to the United Nations
633 Third Avenue, 29th Floor
New York, NY 10017
",212-286-1540,212-286-1555,9/10/02,1-Aug,1,,www.eda.admin.ch/missny,,newyork.un@eda.admin.ch,French
Timor-Leste,Asia-Pacific States,,,4,100.00%,4,5ed5136868235a1f35484c99,TIMOR-LESTE,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,"Permanent Mission of the Democratic Republic
of Timor-Leste to the United Nations
866 United Nations Plaza, Suite 587
New York, NY 10017",212-759-3675,212-759-4196,9/27/02,20-May,1,,,,timorleste.unmission@gmail.com,English
Montenegro,Eastern European States,2,66.67%,1,33.33%,3,5ed5136868235a1f35484c60,MONTENEGRO,Montenegro,Montenegro,Montenegro,"Permanent Mission of Montenegro
to the United Nations
801 Second Avenue, 7th Floor
New York, NY 10017",212-661-3700,212-661-3755,6/28/06,13-Jul,1,,,,un.newyork@mfa.gov.me,English
South Sudan,African States,2,33.33%,4,66.67%,6,5ed5136868235a1f35484c8f,SOUTH SUDAN,South Sudan,South Sudan,Republic of South Sudan,"Permanent Mission of the Republic
of South Sudan to the United Nations 
336 East 45th Street, 5th Floor
New York, NY 10017
",646-362-1668,212-697-1353,7/14/11,9-Jul,1,,,,info@rssun-nyc.org,English
Côte d'Ivoire,African States,5,29.41%,12,70.59%,17,5ed5136868235a1f35484c16,C√îTE D'IVOIRE,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,"Permanent Mission of C√¥te d‚ÄôIvoire
to the United Nations
800 Second Avenue, 5th Floor
New York, NY 10017","347-448-3091
",,9/20/60,7-Aug,1,,,,cotedivoiremission@yahoo.com,French
